Colaborador_gen,0,1,2
Colaborador 1,19.0,22.0,20.0
Colaborador 10,2.0,1.0,7.0
Colaborador 11,16.0,5.0,9.0
Colaborador 12,0.0,3.0,1.0
Colaborador 13,0.0,12.0,12.0
Colaborador 14,0.0,2.0,0.0
Colaborador 15,3.0,9.0,13.0
Colaborador 16,4.0,8.0,5.0
Colaborador 17,0.0,15.0,1.0
Colaborador 18,0.0,14.0,0.0
Colaborador 19,5.0,13.0,6.0
Colaborador 2,14.0,9.0,15.0
Colaborador 20,1.0,14.0,1.0
Colaborador 21,1.0,10.0,3.0
Colaborador 3,0.0,12.0,9.0
Colaborador 4,1.0,27.0,20.0
Colaborador 5,10.0,23.0,15.0
Colaborador 6,35.0,6.0,15.0
Colaborador 7,7.0,2.0,11.0
Colaborador 8,2.0,16.0,3.0
Colaborador 9,7.0,12.0,9.0
